id,kode_provinsi,nama_provinsi,nama_pos_hujan,nama_stasiun_hujan,bulan,jumlah_curah_hujan,satuan,tahun
218,32.0,JAWA BARAT,CISADEA-CIBARENO,GEGER BITUNG,FEBRUARI,14.0,MILIMETER,2015
219,32.0,JAWA BARAT,CISADEA-CIBARENO,GEGER BITUNG,MARET,52.0,MILIMETER,2015
220,32.0,JAWA BARAT,CISADEA-CIBARENO,GEGER BITUNG,APRIL,36.0,MILIMETER,2015
221,32.0,JAWA BARAT,CISADEA-CIBARENO,GEGER BITUNG,MEI,18.0,MILIMETER,2015
222,32.0,JAWA BARAT,CISADEA-CIBARENO,GEGER BITUNG,JUNI,14.0,MILIMETER,2015
223,32.0,JAWA BARAT,CISADEA-CIBARENO,GEGER BITUNG,JULI,48.0,MILIMETER,2015
224,32.0,JAWA BARAT,CISADEA-CIBARENO,GEGER BITUNG,AGUSTUS,11.0,MILIMETER,2015
225,32.0,JAWA BARAT,CISADEA-CIBARENO,GEGER BITUNG,SEPTEMBER,18.0,MILIMETER,2015
226,32.0,JAWA BARAT,CISADEA-CIBARENO,GEGER BITUNG,OKTOBER,42.0,MILIMETER,2015
227,32.0,JAWA BARAT,CISADEA-CIBARENO,GEGER BITUNG,NOVEMBER,68.0,MILIMETER,2015
228,32.0,JAWA BARAT,CISADEA-CIBARENO,GEGER BITUNG,DESEMBER,34.0,MILIMETER,2015
229,32.0,JAWA BARAT,CISADEA-CIBARENO,MANGGIS,JANUARI,30.0,MILIMETER,2015
230,32.0,JAWA BARAT,CISADEA-CIBARENO,MANGGIS,FEBRUARI,40.0,MILIMETER,2015
231,32.0,JAWA BARAT,CISADEA-CIBARENO,MANGGIS,MARET,40.0,MILIMETER,2015
232,32.0,JAWA BARAT,CISADEA-CIBARENO,MANGGIS,APRIL,30.0,MILIMETER,2015
233,32.0,JAWA BARAT,CISADEA-CIBARENO,MANGGIS,MEI,30.0,MILIMETER,2015
234,32.0,JAWA BARAT,CISADEA-CIBARENO,MANGGIS,JUNI,40.0,MILIMETER,2015
235,32.0,JAWA BARAT,CISADEA-CIBARENO,MANGGIS,JULI,25.0,MILIMETER,2015
236,32.0,JAWA BARAT,CISADEA-CIBARENO,MANGGIS,AGUSTUS,0.0,MILIMETER,2015
237,32.0,JAWA BARAT,CISADEA-CIBARENO,MANGGIS,SEPTEMBER,0.0,MILIMETER,2015
238,32.0,JAWA BARAT,CISADEA-CIBARENO,MANGGIS,OKTOBER,50.0,MILIMETER,2015
239,32.0,JAWA BARAT,CISADEA-CIBARENO,MANGGIS,NOVEMBER,50.0,MILIMETER,2015
240,32.0,JAWA BARAT,CISADEA-CIBARENO,MANGGIS,DESEMBER,30.0,MILIMETER,2015
241,32.0,JAWA BARAT,CISADEA-CIBARENO,PAGELARAN/CIJAMPANG,JANUARI,57.0,MILIMETER,2015
